2026-07-02 15:16:06 [INFO] SHP 로드 중: emd.zip
2026-07-02 15:16:06 [INFO]   사용할 shp: emd.shp
2026-07-02 15:17:32 [INFO] SHP 로드 중: emd.zip
2026-07-02 15:17:32 [INFO]   사용할 shp: emd.shp
2026-07-02 15:17:32 [INFO]   압축 해제 경로: C:\Users\ZZINNY~1\AppData\Local\Temp\emd_shp_cjblr00x\emd.shp
2026-07-02 15:17:33 [INFO]   폴리곤 수: 5,067  /  CRS → 4326
2026-07-02 15:17:33 [INFO] 매칭 대상 행 수: 806,856
2026-07-02 15:18:01 [INFO] 청크   74 완료 | 처리:  5,000행 | 매칭 성공:  4,674 / 실패:   326 | 누적:    370,000/806,856 | 경과:    28.68초
2026-07-02 15:18:01 [INFO] 청크   75 완료 | 처리:  5,000행 | 매칭 성공:  4,640 / 실패:   360 | 누적:    375,000/806,856 | 경과:    29.06초
2026-07-02 15:18:01 [INFO] 청크   76 완료 | 처리:  5,000행 | 매칭 성공:  4,605 / 실패:   395 | 누적:    380,000/806,856 | 경과:    29.44초
2026-07-02 15:18:02 [INFO] 청크   77 완료 | 처리:  5,000행 | 매칭 성공:  4,666 / 실패:   334 | 누적:    385,000/806,856 | 경과:    29.85초
2026-07-02 15:18:02 [INFO] 청크   78 완료 | 처리:  5,000행 | 매칭 성공:  4,707 / 실패:   293 | 누적:    390,000/806,856 | 경과:    30.24초
2026-07-02 15:18:03 [INFO] 청크   79 완료 | 처리:  5,000행 | 매칭 성공:  4,663 / 실패:   337 | 누적:    395,000/806,856 | 경과:    30.62초
2026-07-02 15:18:03 [INFO] 청크   80 완료 | 처리:  5,000행 | 매칭 성공:  4,666 / 실패:   334 | 누적:    400,000/806,856 | 경과:    31.02초
2026-07-02 15:18:03 [INFO] 청크   81 완료 | 처리:  5,000행 | 매칭 성공:  4,668 / 실패:   332 | 누적:    405,000/806,856 | 경과:    31.43초
2026-07-02 15:18:04 [INFO] 청크   82 완료 | 처리:  5,000행 | 매칭 성공:  4,664 / 실패:   336 | 누적:    410,000/806,856 | 경과:    31.82초
2026-07-02 15:18:04 [INFO] 청크   83 완료 | 처리:  5,000행 | 매칭 성공:  4,642 / 실패:   358 | 누적:    415,000/806,856 | 경과:    32.22초
2026-07-02 15:18:05 [INFO] 청크   84 완료 | 처리:  5,000행 | 매칭 성공:  4,652 / 실패:   348 | 누적:    420,000/806,856 | 경과:    32.62초
2026-07-02 15:18:05 [INFO] 청크   85 완료 | 처리:  5,000행 | 매칭 성공:  4,645 / 실패:   355 | 누적:    425,000/806,856 | 경과:    33.02초
2026-07-02 15:18:05 [INFO] 청크   86 완료 | 처리:  5,000행 | 매칭 성공:  4,621 / 실패:   379 | 누적:    430,000/806,856 | 경과:    33.41초
2026-07-02 15:18:06 [INFO] 청크   87 완료 | 처리:  5,000행 | 매칭 성공:  4,670 / 실패:   330 | 누적:    435,000/806,856 | 경과:    33.80초
2026-07-02 15:18:06 [INFO] 청크   88 완료 | 처리:  5,000행 | 매칭 성공:  4,671 / 실패:   329 | 누적:    440,000/806,856 | 경과:    34.19초
2026-07-02 15:18:06 [INFO] 청크   89 완료 | 처리:  5,000행 | 매칭 성공:  4,666 / 실패:   334 | 누적:    445,000/806,856 | 경과:    34.58초
2026-07-02 15:18:07 [INFO] 청크   90 완료 | 처리:  5,000행 | 매칭 성공:  4,650 / 실패:   350 | 누적:    450,000/806,856 | 경과:    34.97초
2026-07-02 15:18:07 [INFO] 청크   91 완료 | 처리:  5,000행 | 매칭 성공:  4,660 / 실패:   340 | 누적:    455,000/806,856 | 경과:    35.39초
2026-07-02 15:18:08 [INFO] 청크   92 완료 | 처리:  5,000행 | 매칭 성공:  4,669 / 실패:   331 | 누적:    460,000/806,856 | 경과:    35.79초
2026-07-02 15:18:08 [INFO] 청크   93 완료 | 처리:  5,000행 | 매칭 성공:  4,663 / 실패:   337 | 누적:    465,000/806,856 | 경과:    36.21초
2026-07-02 15:18:09 [INFO] 청크   94 완료 | 처리:  5,000행 | 매칭 성공:  4,657 / 실패:   343 | 누적:    470,000/806,856 | 경과:    36.61초
2026-07-02 15:18:09 [INFO] 청크   95 완료 | 처리:  5,000행 | 매칭 성공:  4,650 / 실패:   350 | 누적:    475,000/806,856 | 경과:    37.01초
