2026-07-02 15:44:50 [INFO] 처리 대상 행 수 (emd_cd='-1'): 56,831
2026-07-02 16:08:46 [INFO] 청크   94 완료 | 처리:   100행 | 성공:   7,938 / 실패:  1,462 | 누적:    9,400/56,831 | 경과:  1436.12초
2026-07-02 16:09:02 [INFO] 청크   95 완료 | 처리:   100행 | 성공:   8,021 / 실패:  1,479 | 누적:    9,500/56,831 | 경과:  1451.86초
2026-07-02 16:09:17 [INFO] 청크   96 완료 | 처리:   100행 | 성공:   8,107 / 실패:  1,493 | 누적:    9,600/56,831 | 경과:  1467.02초
2026-07-02 16:09:34 [INFO] 청크   97 완료 | 처리:   100행 | 성공:   8,195 / 실패:  1,505 | 누적:    9,700/56,831 | 경과:  1483.49초
2026-07-02 16:09:49 [INFO] 청크   98 완료 | 처리:   100행 | 성공:   8,280 / 실패:  1,520 | 누적:    9,800/56,831 | 경과:  1499.10초
2026-07-02 16:10:03 [INFO] 청크   99 완료 | 처리:   100행 | 성공:   8,359 / 실패:  1,541 | 누적:    9,900/56,831 | 경과:  1512.69초
2026-07-02 16:10:18 [INFO] 청크  100 완료 | 처리:   100행 | 성공:   8,444 / 실패:  1,556 | 누적:   10,000/56,831 | 경과:  1527.72초
2026-07-02 16:10:37 [INFO] 청크  101 완료 | 처리:   100행 | 성공:   8,535 / 실패:  1,565 | 누적:   10,100/56,831 | 경과:  1546.37초
2026-07-02 16:10:52 [INFO] 청크  102 완료 | 처리:   100행 | 성공:   8,621 / 실패:  1,579 | 누적:   10,200/56,831 | 경과:  1562.21초
2026-07-02 16:11:07 [INFO] 청크  103 완료 | 처리:   100행 | 성공:   8,703 / 실패:  1,597 | 누적:   10,300/56,831 | 경과:  1577.02초
2026-07-02 16:11:22 [INFO] 청크  104 완료 | 처리:   100행 | 성공:   8,789 / 실패:  1,611 | 누적:   10,400/56,831 | 경과:  1591.91초
2026-07-02 16:11:38 [INFO] 청크  105 완료 | 처리:   100행 | 성공:   8,874 / 실패:  1,626 | 누적:   10,500/56,831 | 경과:  1607.35초
2026-07-02 16:11:53 [INFO] 청크  106 완료 | 처리:   100행 | 성공:   8,959 / 실패:  1,641 | 누적:   10,600/56,831 | 경과:  1622.63초
2026-07-02 16:12:08 [INFO] 청크  107 완료 | 처리:   100행 | 성공:   9,046 / 실패:  1,654 | 누적:   10,700/56,831 | 경과:  1638.06초
2026-07-02 16:12:23 [INFO] 청크  108 완료 | 처리:   100행 | 성공:   9,126 / 실패:  1,674 | 누적:   10,800/56,831 | 경과:  1652.97초
2026-07-02 16:12:38 [INFO] 청크  109 완료 | 처리:   100행 | 성공:   9,207 / 실패:  1,693 | 누적:   10,900/56,831 | 경과:  1668.20초
2026-07-02 16:12:53 [INFO] 청크  110 완료 | 처리:   100행 | 성공:   9,292 / 실패:  1,708 | 누적:   11,000/56,831 | 경과:  1683.22초
2026-07-02 16:13:08 [INFO] 청크  111 완료 | 처리:   100행 | 성공:   9,371 / 실패:  1,729 | 누적:   11,100/56,831 | 경과:  1698.12초
2026-07-02 16:13:23 [INFO] 청크  112 완료 | 처리:   100행 | 성공:   9,454 / 실패:  1,746 | 누적:   11,200/56,831 | 경과:  1712.73초
2026-07-02 16:13:34 [INFO] 처리 대상 행 수 (emd_cd='-1'): 45,631
2026-07-02 16:13:49 [INFO] 청크    1 완료 | 처리:   100행 | 성공:      83 / 실패:     17 | 누적:      100/45,631 | 경과:    15.09초
2026-07-02 16:14:03 [INFO] 청크    2 완료 | 처리:   100행 | 성공:     166 / 실패:     34 | 누적:      200/45,631 | 경과:    29.89초
2026-07-02 16:14:19 [INFO] 청크    3 완료 | 처리:   100행 | 성공:     251 / 실패:     49 | 누적:      300/45,631 | 경과:    45.19초
2026-07-02 16:14:33 [INFO] 청크    4 완료 | 처리:   100행 | 성공:     334 / 실패:     66 | 누적:      400/45,631 | 경과:    59.57초
2026-07-02 16:14:48 [INFO] 청크    5 완료 | 처리:   100행 | 성공:     417 / 실패:     83 | 누적:      500/45,631 | 경과:    74.93초
2026-07-02 16:15:05 [INFO] 청크    6 완료 | 처리:   100행 | 성공:     504 / 실패:     96 | 누적:      600/45,631 | 경과:    91.19초
2026-07-02 16:15:20 [INFO] 청크    7 완료 | 처리:   100행 | 성공:     583 / 실패:    117 | 누적:      700/45,631 | 경과:   106.20초
2026-07-02 16:15:36 [INFO] 청크    8 완료 | 처리:   100행 | 성공:     668 / 실패:    132 | 누적:      800/45,631 | 경과:   122.01초
2026-07-02 16:15:50 [INFO] 청크    9 완료 | 처리:   100행 | 성공:     751 / 실패:    149 | 누적:      900/45,631 | 경과:   136.91초
2026-07-02 16:16:08 [INFO] 청크   10 완료 | 처리:   100행 | 성공:     836 / 실패:    164 | 누적:    1,000/45,631 | 경과:   154.53초
2026-07-02 16:16:23 [INFO] 청크   11 완료 | 처리:   100행 | 성공:     918 / 실패:    182 | 누적:    1,100/45,631 | 경과:   169.60초
2026-07-02 16:16:38 [INFO] 청크   12 완료 | 처리:   100행 | 성공:     999 / 실패:    201 | 누적:    1,200/45,631 | 경과:   184.67초
2026-07-02 16:16:53 [INFO] 청크   13 완료 | 처리:   100행 | 성공:   1,083 / 실패:    217 | 누적:    1,300/45,631 | 경과:   199.47초
2026-07-02 16:17:08 [INFO] 청크   14 완료 | 처리:   100행 | 성공:   1,166 / 실패:    234 | 누적:    1,400/45,631 | 경과:   214.62초
2026-07-02 16:17:25 [INFO] 청크   15 완료 | 처리:   100행 | 성공:   1,251 / 실패:    249 | 누적:    1,500/45,631 | 경과:   230.96초
2026-07-02 16:17:40 [INFO] 청크   16 완료 | 처리:   100행 | 성공:   1,329 / 실패:    271 | 누적:    1,600/45,631 | 경과:   246.11초
2026-07-02 16:17:55 [INFO] 청크   17 완료 | 처리:   100행 | 성공:   1,413 / 실패:    287 | 누적:    1,700/45,631 | 경과:   261.16초
2026-07-02 16:18:09 [INFO] 청크   18 완료 | 처리:   100행 | 성공:   1,491 / 실패:    309 | 누적:    1,800/45,631 | 경과:   275.59초
2026-07-02 16:18:24 [INFO] 청크   19 완료 | 처리:   100행 | 성공:   1,576 / 실패:    324 | 누적:    1,900/45,631 | 경과:   290.38초
2026-07-02 16:18:39 [INFO] 청크   20 완료 | 처리:   100행 | 성공:   1,661 / 실패:    339 | 누적:    2,000/45,631 | 경과:   305.40초
2026-07-02 16:18:55 [INFO] 청크   21 완료 | 처리:   100행 | 성공:   1,748 / 실패:    352 | 누적:    2,100/45,631 | 경과:   321.17초
2026-07-02 16:19:09 [INFO] 청크   22 완료 | 처리:   100행 | 성공:   1,829 / 실패:    371 | 누적:    2,200/45,631 | 경과:   335.89초
2026-07-02 16:19:24 [INFO] 청크   23 완료 | 처리:   100행 | 성공:   1,909 / 실패:    391 | 누적:    2,300/45,631 | 경과:   350.17초
2026-07-02 16:19:39 [INFO] 청크   24 완료 | 처리:   100행 | 성공:   1,995 / 실패:    405 | 누적:    2,400/45,631 | 경과:   365.87초
2026-07-02 16:19:55 [INFO] 청크   25 완료 | 처리:   100행 | 성공:   2,080 / 실패:    420 | 누적:    2,500/45,631 | 경과:   381.36초
2026-07-02 16:20:10 [INFO] 청크   26 완료 | 처리:   100행 | 성공:   2,163 / 실패:    437 | 누적:    2,600/45,631 | 경과:   396.19초
2026-07-02 16:20:25 [INFO] 청크   27 완료 | 처리:   100행 | 성공:   2,248 / 실패:    452 | 누적:    2,700/45,631 | 경과:   411.14초
2026-07-02 16:20:40 [INFO] 청크   28 완료 | 처리:   100행 | 성공:   2,332 / 실패:    468 | 누적:    2,800/45,631 | 경과:   426.65초
2026-07-02 16:20:54 [INFO] 청크   29 완료 | 처리:   100행 | 성공:   2,408 / 실패:    492 | 누적:    2,900/45,631 | 경과:   440.27초
2026-07-02 16:21:08 [INFO] 청크   30 완료 | 처리:   100행 | 성공:   2,490 / 실패:    510 | 누적:    3,000/45,631 | 경과:   454.67초
2026-07-02 16:21:24 [INFO] 청크   31 완료 | 처리:   100행 | 성공:   2,578 / 실패:    522 | 누적:    3,100/45,631 | 경과:   470.35초
2026-07-02 16:21:39 [INFO] 청크   32 완료 | 처리:   100행 | 성공:   2,662 / 실패:    538 | 누적:    3,200/45,631 | 경과:   485.38초
2026-07-02 16:21:56 [INFO] 청크   33 완료 | 처리:   100행 | 성공:   2,746 / 실패:    554 | 누적:    3,300/45,631 | 경과:   502.11초
2026-07-02 16:22:11 [INFO] 청크   34 완료 | 처리:   100행 | 성공:   2,831 / 실패:    569 | 누적:    3,400/45,631 | 경과:   517.32초
2026-07-02 16:22:26 [INFO] 청크   35 완료 | 처리:   100행 | 성공:   2,913 / 실패:    587 | 누적:    3,500/45,631 | 경과:   532.26초
2026-07-02 16:22:41 [INFO] 청크   36 완료 | 처리:   100행 | 성공:   2,997 / 실패:    603 | 누적:    3,600/45,631 | 경과:   547.72초
2026-07-02 16:22:55 [INFO] 청크   37 완료 | 처리:   100행 | 성공:   3,076 / 실패:    624 | 누적:    3,700/45,631 | 경과:   561.42초
2026-07-02 16:23:10 [INFO] 청크   38 완료 | 처리:   100행 | 성공:   3,160 / 실패:    640 | 누적:    3,800/45,631 | 경과:   576.45초
2026-07-02 16:23:24 [INFO] 청크   39 완료 | 처리:   100행 | 성공:   3,241 / 실패:    659 | 누적:    3,900/45,631 | 경과:   590.66초
2026-07-02 16:23:39 [INFO] 청크   40 완료 | 처리:   100행 | 성공:   3,326 / 실패:    674 | 누적:    4,000/45,631 | 경과:   605.71초
2026-07-02 16:23:55 [INFO] 청크   41 완료 | 처리:   100행 | 성공:   3,407 / 실패:    693 | 누적:    4,100/45,631 | 경과:   620.95초
2026-07-02 16:24:10 [INFO] 청크   42 완료 | 처리:   100행 | 성공:   3,492 / 실패:    708 | 누적:    4,200/45,631 | 경과:   636.06초
2026-07-02 16:24:25 [INFO] 청크   43 완료 | 처리:   100행 | 성공:   3,578 / 실패:    722 | 누적:    4,300/45,631 | 경과:   651.40초
2026-07-02 16:24:41 [INFO] 청크   44 완료 | 처리:   100행 | 성공:   3,664 / 실패:    736 | 누적:    4,400/45,631 | 경과:   667.78초
2026-07-02 16:24:57 [INFO] 청크   45 완료 | 처리:   100행 | 성공:   3,746 / 실패:    754 | 누적:    4,500/45,631 | 경과:   683.76초
2026-07-02 16:25:12 [INFO] 청크   46 완료 | 처리:   100행 | 성공:   3,828 / 실패:    772 | 누적:    4,600/45,631 | 경과:   698.83초
2026-07-02 16:25:27 [INFO] 청크   47 완료 | 처리:   100행 | 성공:   3,911 / 실패:    789 | 누적:    4,700/45,631 | 경과:   713.53초
2026-07-02 16:25:44 [INFO] 청크   48 완료 | 처리:   100행 | 성공:   3,998 / 실패:    802 | 누적:    4,800/45,631 | 경과:   730.02초
2026-07-02 16:25:59 [INFO] 청크   49 완료 | 처리:   100행 | 성공:   4,081 / 실패:    819 | 누적:    4,900/45,631 | 경과:   744.95초
2026-07-02 16:26:13 [INFO] 청크   50 완료 | 처리:   100행 | 성공:   4,162 / 실패:    838 | 누적:    5,000/45,631 | 경과:   759.23초
2026-07-02 16:26:30 [INFO] 청크   51 완료 | 처리:   100행 | 성공:   4,248 / 실패:    852 | 누적:    5,100/45,631 | 경과:   776.20초
2026-07-02 16:26:45 [INFO] 청크   52 완료 | 처리:   100행 | 성공:   4,333 / 실패:    867 | 누적:    5,200/45,631 | 경과:   791.13초
2026-07-02 16:26:59 [INFO] 청크   53 완료 | 처리:   100행 | 성공:   4,416 / 실패:    884 | 누적:    5,300/45,631 | 경과:   805.93초
2026-07-02 16:27:18 [INFO] 청크   54 완료 | 처리:   100행 | 성공:   4,506 / 실패:    894 | 누적:    5,400/45,631 | 경과:   824.29초
2026-07-02 16:27:32 [INFO] 청크   55 완료 | 처리:   100행 | 성공:   4,586 / 실패:    914 | 누적:    5,500/45,631 | 경과:   838.67초
2026-07-02 16:27:48 [INFO] 청크   56 완료 | 처리:   100행 | 성공:   4,671 / 실패:    929 | 누적:    5,600/45,631 | 경과:   854.56초
2026-07-02 16:28:03 [INFO] 청크   57 완료 | 처리:   100행 | 성공:   4,756 / 실패:    944 | 누적:    5,700/45,631 | 경과:   869.39초
2026-07-02 16:28:18 [INFO] 청크   58 완료 | 처리:   100행 | 성공:   4,838 / 실패:    962 | 누적:    5,800/45,631 | 경과:   884.34초
2026-07-02 16:28:32 [INFO] 청크   59 완료 | 처리:   100행 | 성공:   4,921 / 실패:    979 | 누적:    5,900/45,631 | 경과:   898.93초
2026-07-02 16:28:47 [INFO] 청크   60 완료 | 처리:   100행 | 성공:   5,005 / 실패:    995 | 누적:    6,000/45,631 | 경과:   913.75초
2026-07-02 16:29:03 [INFO] 청크   61 완료 | 처리:   100행 | 성공:   5,089 / 실패:  1,011 | 누적:    6,100/45,631 | 경과:   929.32초
